id,text,speaker,type,otherEvent,next,respond,respondCheck
respond0,"Hi, how's your day going?",,1,,,"Pretty good, thanks! How about you?",
respond1,Do you have a moment to discuss this task?,,1,,,"Sure, what do you need?",
respond2,Can you help me understand this report?,,1,,,Of course! Let me take a look.,
respond3,That was a great presentation!,,1,,,Thanks! I really appreciate it.,
respond4,Let's grab lunch together.,,1,,,Sounds good! Where should we go?,
respond5,We have a meeting in 10 minutes.,,1,,,"Got it, I’ll be there.",
respond6,I like your idea in the meeting earlier.,,1,,,Thanks! Glad you found it useful.,
respond7,Could you explain this part again?,,1,,,Sure! Here’s how it works…,
respond8,Do you think this approach will work?,,1,,,"I think so, but we might need some adjustments.",
respond9,Thanks for your help earlier.,,1,,,No problem! Happy to help.,
respond10,I think we should update this process.,,1,,,That makes sense. Let’s discuss it.,
respond11,Do you need any help with your workload?,,1,,,I appreciate it! I think I’m good for now.,
respond12,Have you seen the latest project update?,,1,,,"Yes, I just reviewed it. Looks interesting!",
respond13,What do you think of this design?,,1,,,It looks great! Maybe we could tweak a few things.,
respond14,Can you take a look at this error?,,1,,,Sure! Let me debug it.,
respond15,We have a deadline coming up soon.,,1,,,"Yeah, let’s make sure everything is on track.",
respond16,How was your weekend?,,1,,,It was great! How about yours?,
respond17,I need your opinion on this feature.,,1,,,"Alright, let’s go over it together.",
download0,Please review this document and send it back.,,2,,,Here you go! Let me know if you need any changes.,
download1,Can you update this spreadsheet?,,2,,,Done! Let me know if it looks good.,
download2,Fix the formatting in this report.,,2,,,All set! I’ve cleaned up the layout.,
download3,Add these details to the file.,,2,,,Added! Check if it’s correct.,
download4,The document needs a revision.,,2,,,Revised and sent back. Let me know if it’s okay.,
download5,Please correct the typos in this text.,,2,,,Fixed! It should be error-free now.,
download6,Merge these changes into the document.,,2,,,Merged and updated! Check if it’s all good.,
download7,Remove unnecessary sections from this file.,,2,,,Cleaned up! Let me know if anything else needs tweaking.,
download8,Can you summarize this report?,,2,,,Done! Here’s a concise summary.,
download9,Please translate this document.,,2,,,Translation complete! Let me know if you need adjustments.,
download10,This file needs restructuring.,,2,,,Reformatted and organized! Check it out.,
download11,Update the figures in the spreadsheet.,,2,,,Updated! Let me know if you need further edits.,
download12,Can you add more details to this section?,,2,,,Expanded the section! Hope this works.,
download13,Convert this file to PDF.,,2,,,Done! Here’s the PDF version.,
download14,Make the text more concise.,,2,,,Edited! It’s more to the point now.,
download15,Please proofread this article.,,2,,,Proofreading complete! Ready for review.,
download16,We need a new version of this file.,,2,,,Created a new version! Let me know if changes are needed.,
download17,Update the references in this document.,,2,,,References updated! Take a look.,
download18,The charts need to be redone.,,2,,,Charts are updated! Let me know if any revisions are needed.,
tutorial1_chat1,Welcome aboard! We're thrilled to have you on the team.,hr,-1,,tutorial1_chat2,Thanks! I'm really excited to start working here!,
tutorial1_chat2,"Sorry, I'll be out for a while. Feel free to explore, and I'll be back soon.",hr,-1,installFake,,Sure thing!,
tutorial1_chat3,"Hi, sorry about that. I'm back now. How's everything going?",hr,-1,,tutorial1_chat4,"All good, though I did want to ask about that onboarding document...",
tutorial1_chat4,What onboarding document?,hr,-1,,tutorial1_chat5,The one on my desktop…,
tutorial1_chat5,"Delete it immediately! You didn't open it, did you?",hr,-1,,tutorial1_chat6,Uh…,
tutorial1_chat6,"I really hope not. We have a very strict security policy, if something goes wrong, you could get fired.",hr,-1,installAnti,tutorial1_chat7,"Fired?! No, I didn't open it.",
tutorial1_chat7,"Alright, I've helped you install the antivirus. Please open it when you’re ready.",hr,-1,,tutorial1_chat8,Done.,openAnti
tutorial1_chat8,You can see when will a day ends and how productive you are in antivirus program.,hr,-1,,tutorial1_chat9,I see.,
tutorial1_chat9,"By the way, when your colleagues message you, remember to respond promptly.",hr,-1,,tutorial1_chat10,I'll make sure to say hi when they reach out.,
tutorial1_chat10,"Perfect. Welcome again, and have a great first day!",hr,-1,startgame,,Thanks! Looking forward to a productive day ahead.,
clip_start,Morning. Your computer looks fine so far.,clip,-1,,,,
clip_detect,Virus detected!,clip,-1,clip_detect2,,,
clip_detect2,"Press “Spawn” to generate target points on the virus, ",clip,-1,clip_detect3,,,
clip_detect3,Then click each point to attack.,clip,-1,,,,
clip_win,That was a fair win! Nice job taking it down.,clip,-1,,,,
clip_attack,Keep going! Attack the virus until it’s completely gone.,clip,-1,,,,
clip_endDay,"It's the end of a day, you can shut down the computer now!",clip,-1,,,,
tutorial2_chat1,How was your first day? Everything good?,hr,-1,,tutorial2_chat2,Perfect!,
tutorial2_chat2,I hope you haven't noticed anything suspicious with the antivirus program?,hr,-1,,tutorial2_chat3,No... not at all!,
tutorial2_chat3,Great! It’s time for you to dive into some real work today.,hr,-1,,tutorial2_chat4,I'm looking forward to it!,
tutorial2_chat4,Your colleagues will send you a few files to work on.,hr,-1,,tutorial2_chat5,,
tutorial2_chat5,"Please download them, make any necessary edits, and re-upload them to whoever sent them.",hr,-1,,tutorial2_chat6,,
tutorial2_chat6,It shouldn’t be too difficult—enjoy your day!,hr,-1,startgame,,Can't wait to start working!,
tutorial3_chat1,WIP tutorial about meeting,hr,-1,startgame,,ok,
end_lowProductive,We’ve received a report indicating that you have not been fully focused on your assigned responsibilities. ,hr,-1,,end_lowProductive2,,
end_lowProductive2,"As a result, we must terminate your employment, effective immediately.",hr,-1,endgame,,,
